"id","block","trial","type","size","start_hand","switch_hands","targ","targ_x","targ_y","xtra_targ1","xtra_targ1_x","xtra_targ1_y","xtra_targ2","xtra_targ2_x","xtra_targ2_y","xtra_targ3","xtra_targ3_x","xtra_targ3_y","pt_x","pt_y","dist_err","move_time"
647,2,18,1,1,1,0,3,3.38094592094421,7.2504620552063,24,-13.6781616210938,10.0949430465698,15,-5.16888618469238,13.0108652114868,22,-3.16049695014954,16.7036304473877,8.87982770171867,9.22665753695712,5.8432054,2539
647,2,19,0,1,0,1,5,-7.72740697860718,2.070552110672,42,0,0,42,0,0,42,0,0,-10.779135485554,-0.106844025772819,3.7488799,2434
647,2,20,1,0,1,1,9,-5.91029596328735,9.27730560302734,21,3.16049695014954,16.7036304473877,42,0,0,42,0,0,-11.8182929526307,8.26334657534944,5.9943758,2171
647,2,21,0,1,1,0,7,5.91029596328735,9.27730560302734,42,0,0,42,0,0,42,0,0,7.57991270132273,9.23996474402072,1.6700342,2446
647,2,22,0,1,1,1,20,9.04454517364502,14.3943109512329,42,0,0,42,0,0,42,0,0,7.92360900225279,10.5592075474278,3.995562,2820
647,2,23,0,0,0,1,4,-3.38094592094421,7.2504620552063,42,0,0,42,0,0,42,0,0,-1.29903990194198,13.5084983349154,6.5952521,2938
647,2,24,1,1,1,1,6,9.96938610076904,4.64880084991455,12,9.60738277435303,10.1832313537598,21,3.16049695014954,16.7036304473877,14,0,14,8.3148823288895,10.5106301129962,6.0908476,2738
647,2,25,0,1,1,0,16,-9.60738277435303,10.1832313537598,42,0,0,42,0,0,42,0,0,-10.012486416016,11.8027858913071,1.6694508,2850
647,2,26,0,0,0,0,19,13.6781616210938,10.0949430465698,42,0,0,42,0,0,42,0,0,18.9265666228972,13.441108017546,6.2243534,3242
647,2,27,1,0,0,0,13,5.16888618469238,13.0108652114868,9,-5.91029596328735,9.27730560302734,42,0,0,42,0,0,5.97922274647764,10.2261301508284,2.9002405,2831
647,2,28,0,0,1,1,6,9.96938610076904,4.64880084991455,42,0,0,42,0,0,42,0,0,7.58330569844031,5.33173347780196,2.4818897,3120
647,2,29,0,0,0,1,22,-3.16049695014954,16.7036304473877,42,0,0,42,0,0,42,0,0,-2.14924298388595,16.5480995392986,1.0231444,3184
647,2,30,0,0,1,0,3,3.38094592094421,7.2504620552063,42,0,0,42,0,0,42,0,0,1.27650945789666,12.406381070593,5.5688557,2612
647,2,31,1,1,1,1,15,-5.16888618469238,13.0108652114868,13,5.16888618469238,13.0108652114868,10,-9.96938610076904,4.64880084991455,8,0,11,-9.83431897106824,12.5954244609286,4.683893,3788
647,2,32,1,0,1,0,5,-7.72740697860718,2.070552110672,23,-9.04454517364502,14.3943109512329,42,0,0,42,0,0,-11.9383398882281,8.87180699661341,7.999314,2781
647,3,1,0,0,1,0,2,7.72740697860718,2.070552110672,42,0,0,42,0,0,42,0,0,9.99842717869561,2.56172214988366,2.3235277,2522
647,3,2,1,0,0,1,5,-7.72740697860718,2.070552110672,7,5.91029596328735,9.27730560302734,42,0,0,42,0,0,-7.54810491173095,3.89741364738476,1.8356395,2088
647,3,3,1,0,1,1,24,-13.6781616210938,10.0949430465698,2,7.72740697860718,2.070552110672,42,0,0,42,0,0,-18.927038068919,14.2048864514512,6.6665087,2663
647,3,4,0,0,1,0,15,-5.16888618469238,13.0108652114868,42,0,0,42,0,0,42,0,0,2.03460410417175,15.1187802077454,7.5055698,2332
647,3,5,0,0,0,0,23,-9.04454517364502,14.3943109512329,42,0,0,42,0,0,42,0,0,-14.6190322104747,14.8067079307186,5.5897207,3080
647,3,6,1,0,1,0,3,3.38094592094421,7.2504620552063,11,12.6883087158203,5.91665601730347,42,0,0,42,0,0,6.34804508433449,11.1834813165816,4.9266944,2419
647,3,7,0,1,0,0,22,-3.16049695014954,16.7036304473877,42,0,0,42,0,0,42,0,0,-8.20679065391189,13.0843871253779,6.2099921,3682
